name,title_el,title_en,description_el,description_en,logo_url
mun-malevizi,Δήμος Μαλεβιζίου,Municipality of Malevizi,"Δήμος Μαλεβιζίου είναι δήμος της περιφέρειας Κρήτης που συστάθηκε με το Πρόγραμμα Καλλικράτης. Προέκυψε από την συνένωση των προϋπαρχόντων δήμων Γαζίου, Κρουσώνα και Τυλίσου. Η έκταση του νέου Δήμου είναι 292,70 τ.χλμ και ο πληθυσμός του 24.864 κάτοικοι σύμφωνα με την απογραφή του 2011. Έδρα του νέου δήμου ορίστηκε το Γάζι.",,organizations/dimos-maleviziou.jpg
mun-malian,Δήμος Μαντουδίου - Λίμνης - Αγίας Άννας,Municipality of Mantoudi - Limni - Agia Anna,"Ο Δήμος ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ, βρίσκεται στη βόρειο-βορειοκεντρική Εύβοια και υπάγεται στην Περιφέρεια Στερεάς Ελλάδας. Συνορεύει: βόρεια με το Δήμο Ιστιαίας - Αιδηψού, νότια με το Δήμο Διρφύων - Μεσσαπίων, δυτικά 'βρέχεται' από το βόρειο Ευβοϊκό κόλπο και ανατολικά από το Αιγαίο Πέλαγος.  (Χάρτης περιοχής Δήμου)
   Η συνολική έκταση του Δήμου είναι 585,39 τετραγωνικά χλμ. (περίπου 578.631,58 στρέμματα).
   Ο συνολικός πληθυσμός, σύμφωνα με τα στοιχεία της ΕΛΣΤΑΤ (απογραφή 2011), είναι:

   12.045 (Μόνιμος πληθυσμός)  και 14.141 (Νόμιμος πληθυσμός).",,organizations/emblem.png
mun-preveza,Δήμος Πρέβεζας,Municipality of Preveza,"Ο Δήμος Πρέβεζας είναι ένας από τους 18 Καλλικρατικούς δήμους της Περιφέρειας Ηπείρου, ο οποίος συστάθηκε το 2011 από τη συνένωση των προϋπαρχόντων Καποδιστριακών δήμων Ζαλόγγου, Λούρου καιΠρεβέζης. Ο πρώτος Δήμος Πρεβέζης δημιουργήθηκε αμέσως μετά την απελευθέρωση της πόλης στις 21 Οκτωβρίου 1912.",,organizations/dimos-prevezas.jpg
mun-philadel-chalk,Δήμος Φιλαδελφείας - Χαλκηδόνας,Municipality of Thessaloniki,"Ο Δήμος Φιλαδελφείας - Χαλκηδόνας είναι προσφυγικός συνοικισμός στο βόρειο άκρο του Κεντρικού Τομέα Αθηνών της Περιφέρειας Αττικής. Αποτελείται από τους οικισμούς της Νέας Φιλαδελφείας, η οποία και είναι έδρα αυτού, και της Νέας Χαλκηδόνας. Ο πληθυσμός του δήμου υπολογίζεται σε 35.556 κατοίκους και η έκτασή του σε 3,73 τ.χλμ.. Οι πρώτοι εποικιστές ήταν πρόσφυγες από τη Φιλαδέλφεια και τη Χαλκηδόνα της Μικράς Ασίας.",,organizations/dimos-filadelfias-xalkidonas.jpg
ekxa,Εθνικό Κτηματολόγιο και Χαρτογράφηση Α.Ε.,National Cadastre and Mapping Agency S.A.,"Η εταιρία «Κτηματολόγιο Α.Ε.», που ιδρύθηκε  με κοινή απόφαση των Υπουργών Εθνικής Οικονομίας, Οικονομικών και ΠΕ.ΧΩ.ΔΕ (Απόφαση 81706/6085/6-10-1995/ΦΕΚ 872Β/19-10-1995) είναι Νομικό Πρόσωπο Ιδιωτικού Δικαίου. Με τον  νόμο 4164/2013 μετονομάστηκε σε «Εθνικό Κτηματολόγιο και Χαρτογράφηση Α.Ε.» (ΕΚΧΑ Α.Ε.).

Σκοπός της εταιρίας είναι η μελέτη, σύνταξη  και λειτουργία του Εθνικού Κτηματολογίου. Με τον προαναφερθέντα νόμο, ανέλαβε επίσης τις αρμοδιότητες που αφορούν στη γεωδαιτική κάλυψη και χαρτογράφηση της χώρας, την απογραφή και χαρτογράφηση των φυσικών διαθεσίμων της, τη δημιουργία και τήρηση ψηφιακών γεωχωρικών δεδομένων και δεδομένων περιβάλλοντος.

Η εταιρία λειτουργεί σύμφωνα με τους κανόνες της ιδιωτικής οικονομίας και διέπεται από τις διατάξεις του άρθρου 5 του Ν. 2229/1994, του κωδικοποιημένου Νόμου 2190/1920, του Ν. 2308/1995 και του Ν.2664/1998, όπως ισχύουν σήμερα. Με τον νόμο 3899/17-12-2010 εντάχθηκε στο πεδίο εφαρμογής του Κεφαλαίου Α΄του ν. 3429/2005 ""Δημόσιες Επιχειρήσεις και Οργανισμοί ΔΕΚΟ"".

Μοναδικός μέτοχος της ΕΚΧΑ Α.Ε. είναι το Ελληνικό Δημόσιο και η εταιρία εποπτεύεται από το Υπουργείο Περιβάλλοντος Ενέργειας και Κλιματικής Αλλαγής.",,organizations/ktimatologio.jpg
eid-gram-ydatwn,Ειδική Γραμματεία Υδάτων,Special Secretariat for Water,"Η Ειδική Γραμματεία Υδάτων έχει την αρμοδιότητα κατάρτισης των προγραμμάτων προστασίας και διαχείρισης των υδατικών πόρων της χώρας και του συντονισμού των υπηρεσιών και κρατικών φορέων για κάθε ζήτημα που αφορά στην προστασία και διαχείριση των υδάτων. Ένας από τους βασικούς άξονες του έργου της Ειδικής Γραμματείας Υδάτων είναι η εφαρμογή της Κοινοτικής Οδηγίας 60/2000/ΕΚ, της γνωστής ως Οδηγία  Πλαίσιο για τα Νερά, η οποία ενσωματώθηκε στο εθνικό δίκαιο με το νόμο 3199 του 2003, με στόχο την επίτευξη της καλής οικολογικής και χημικής κατάστασης των υδάτων της χώρας.

Η Γραμματεία, σε συνεργασία με τις Περιφερειακές Διευθύνσεις Υδάτων,  καταρτίζει τα εθνικά προγράμματα προστασίας και διαχείρισης του υδάτινου δυναμικού της χώρας και παρακολουθεί και συντονίζει την εφαρμογή τους. Πριν την έγκρισή τους, τα προγράμματα εισάγονται για διαβούλευση στο Εθνικό Συμβούλιο Υδάτων. Η Γραμματεία είναι οργανωμένη σε Διευθύνσεις και Τμήματα και επικεφαλής της είναι ο εκάστοτε αρμόδιος Ειδικός Γραμματέας του ΥΠΕΚΑ.  

Ειδικότερα, οι τομείς δραστηριότητάς της περιλαμβάνουν:
 - Τον συντονισμό της διαχείρισης και προστασίας των υδατικών πόρων
 - Την εφαρμογή της Οδηγίας  Πλαίσιο για τα Νερά
 - Την παρακολούθηση της ποιότητας και ποσότητας των υδάτων
 - Τη νιτρορύπανση γεωργικής προέλευσης
 - Τη διαχείριση των λυμάτων και την επαναχρησιμοποίησή τους
 - Την εφαρμογή της Οδηγίας για τις πλημμύρες
 - Τις ακτές κολύμβησης και τις γαλάζιες σημαίες
 - Την εφαρμογή της Οδηγίας για τη θαλάσσια στρατηγική
 - Τα διεθνή, διακρατικά και Μεσογειακά θέματα νερού ",,organizations/eidiki_grammateia_ydatwn.jpg
elstat,Ελληνική Στατιστική Αρχή,Hellenic Statistical Authority,"Αποστολή της Ελληνικής Στατιστικής Αρχής είναι η διασφάλιση και η διαρκής βελτίωση της ποιότητας των στατιστικών της Χώρας.

Η Ελληνική Στατιστική Αρχή εκτελεί την αποστολή της ακολουθώντας τα υψηλότερα ευρωπαϊκά και διεθνή στατιστικά πρότυπα σε όλους τους τομείς, ενώ ταυτόχρονα, απαρέγκλιτα τηρεί τους προβλεπόμενους κανόνες και εκπληρεί τις υποχρεώσεις που έχει αναλάβει.

Με αυτό τον τρόπο στοχεύει:

1. Να είναι και να παραμένει πραγματικά και αναμφισβήτητα μια Ανεξάρτητη Στατιστική Αρχή, η οποία θα λειτουργεί πάντοτε με τρόπο που να εκφράζει αυτό το πρότυπο

2. Να παράγει στατιστικά στοιχεία χρήσιμα συναφή για τη δημόσια πολιτική, την οικονομία και τους άλλους τομείς της ζωής

3. Να κερδίζει και να ανανεώνει συνεχώς την εμπιστοσύνη των χρηστών στην αξιοπιστία των στατιστικών στοιχείων

4. Να έχει και να διαφυλάττει την εμπιστοσύνη των στατιστικών μονάδων των πολιτών, νοικοκυριών, επιχειρήσεων οι οποίες παρέχουν εμπιστευτικές πληροφορίες τους για την παραγωγή στατιστικών.Οι πρακτικές αυτές αποτελούν τη βάση πάνω στην οποία η Ελληνική Στατιστική Αρχή συντονίζει τη δράση και των υπόλοιπων φορέων του Ελληνικού Στατιστικού Συστήματος, όσον αφορά την ανάπτυξη, παραγωγή και διάθεση των επίσημων στατιστικών της Ελλάδος.

Η Ελληνική Στατιστική Αρχή στοχεύει επίσης την άριστη συνεργασία με τη Eurostat και τις άλλες Υπηρεσίες της Ευρωπαϊκής Επιτροπής, όπως επίσης, και με τις Εθνικές Στατιστικές Υπηρεσίες των υπόλοιπων Κρατών Μελών της Ευρωπαϊκής Ένωσης, έτσι ώστε να αποτελεί ενεργό μέλος στο έργο και στην εξέλιξη του Ευρωπαϊκού Στατιστικού Συστήματος.",,organizations/elstat.png
kape,Κέντρο Ανανεώσιμων Πηγών και Εξοικονόμησης Ενέργειας,Centre for Renewable Energy Sources and Saving,"
Το Κέντρο Ανανεώσιμων Πηγών και Εξοικονόμησης Ενέργειας είναι ο εθνικός φορέας για την προώθηση των Ανανεώσιμων Πηγών, της Ορθολογικής Χρήσης και της Εξοικονόμησης Ενέργειας.
Στο σύγχρονο ενεργειακό τοπίο το ΚΑΠΕ δραστηριοποιείται δυναμικά, στο πλαίσιο της εθνικής και κοινοτικής πολιτικής και νομοθεσίας, για την προστασία του περιβάλλοντος και την αειφόρο ανάπτυξη.
Στην πρωτοπορία των τεχνολογικών εξελίξεων υλοποιεί καινοτόμα έργα και σημαντικές δράσεις για την διάδοση και εδραίωση των νέων ενεργειακών τεχνολογιών.",,organizations/KAPE.jpg
ktpae,Κοινωνία της Πληροφορίας Α.Ε.,Information Society S.A.,"H «Κοινωνία της Πληροφορίας Α.Ε.» (ΚτΠ Α.Ε.), είναι μια Δημόσια Επιχείρηση Κοινής Ωφέλειας (ΔΕΚΟ), εποπτευόμενη από το Υπουργείο Εσωτερικών, που ιδρύθηκε το 2001 με σκοπό τη διασφάλιση της ομαλής υλοποίησης του Επιχειρησιακού Προγράμματος «Κοινωνία της Πληροφορίας» (ΕΠ ΚτΠ), προκειμένου να αποφευχθούν οι καθυστερήσεις και τα προβλήματα που είχαν παρατηρηθεί στη διαχείριση των Επιχειρησιακών Προγραμμάτων του 1ου  & 2ου  Κοινοτικού Πλαισίου Στήριξης (ΚΠΣ).
Η ΚτΠ Α.Ε. αποτέλεσε ένα καινοτόμο εγχείρημα, ακόμη και για την Ευρωπαϊκή πραγματικότητα, η οποία εντάχθηκε (αρχικά το 1999 και στη συνέχεια το 2002) στην στρατηγική προσέγγιση του ελληνικού κράτους για την ηλεκτρονική διακυβέρνηση, όπως αυτή περιγράφτηκε για πρώτη φορά στη Λευκή Βίβλο «Η Ελλάδα στην Κοινωνία της Πληροφορίας : Στρατηγική και Δράσεις».
Κατά την πορεία εκτέλεσης των εργασιών της και τη διαδικασία προσέλκυσης Φορέων / Πελατών, εντοπίστηκε τόσο από την ΚτΠ Α.Ε. αλλά και από τους ίδιους τους Φορείς, περιορισμένη δυνατότητα υλοποίησης των έργων πληροφορικής που εντάσσονται στο ΕΠ ΚτΠ εσωτερικά και μόνο από τους Φορείς. Κύριος λόγος αποδείχτηκε η έλλειψη σχετικής τεχνογνωσίας καθώς και η έλλειψη του κατάλληλου και εξειδικευμένου στελεχιακού δυναμικού εντός των Φορέων που θα μπορούσαν να φέρουν εις πέρας ένα τέτοιο εγχείρημα. Για το λόγο αυτό αναγνωρίστηκε η ανάγκη για μεγαλύτερη και ουσιαστικότερη υποστήριξη των Φορέων στην οργάνωση και   υλοποίηση των έργων αυτών. Ως αποτέλεσμα και στο πλαίσιο αυτό, η ΚτΠ Α.Ε. κλήθηκε να παρέχει κατά κύριο λόγο υπηρεσίες ως Τελικός Δικαιούχος προς τους Φορείς, με στόχο την ολοκληρωμένη παροχή υπηρεσιών και την παράδοση των έργων «με το κλειδί στο χέρι». Παράλληλα όμως, διαρκώς αυξάνονται τα αιτήματα από τους Φορείς για παροχή συμβουλευτικών και τεχνικών υπηρεσιών.
Η ΚτΠ Α.Ε. υλοποιεί έργα πληροφορικής και τηλεπικοινωνιών σε όλη την Ελληνική επικράτεια, μετατρέποντάς την σε ένα τεράστιο «εργοτάξιο πληροφορικής», από τη βραχονησίδα Βελοπούλα, την Τήλο, το Καστελόριζο και την Αστυπάλαια ως το Σουφλί και Ορμένιο. Με σύνθετα έργα Ηλεκτρονικής Διακυβέρνησης προωθείται η παροχή ηλεκτρονικών υπηρεσιών και η προώθηση των ηλεκτρονικών συναλλαγών με πολίτες και επιχειρήσεις, με στόχο την πάταξη της γραφειοκρατίας, την διαφάνεια, την ενίσχυση της επιχειρηματικότητας και του υγιούς ανταγωνισμού και την εν γένει βελτίωση της Δημόσιας Διοίκησης.",,organizations/ktp_logo_50_50.jpg
ktim-evrou,Κτηματική Υπηρεσία Νομού Εβρου,Hellenic Public Real Estate Agency of Prefecture of Evros,Κτηματική Υπηρεσία Νομού Εβρου,,organizations/emblem.png
ktim-peiraus,Κτηματική Υπηρεσία Πειραιά,Hellenic Public Real Estate Agency of Pireaus,Κτηματική Υπηρεσία Πειραιά,,organizations/emblem.png
